Nama Cabang,Provinsi,Kab/Kota,Cabang
9202.1-G.PPnA - Pekalongan (PKL),Jawa Tengah,Pekalongan,PKL
9203.1-G.PPnA - Imam Bonjol (PKLIMA),Jawa Tengah,Pekalongan,PKLIMA
9301.1-G.Pabrik Bumbu Sukun (SUKUN),Jawa Timur,Malang,SUKUN
9302.1-G.Pabrik Bumbu Dieng (DIENG),Jawa Timur,Malang,DIENG
9303.1-G.PT. Pokang Kuliner Nusantara (POKANG),Jawa Timur,Malang,POKANG
9304.1-G.PT. Dinamika Megatama Citra (DMC),Jawa Timur,,DMC
9305.1-G.PT.Bumi Menara Internusa (BMI),Jawa Timur,Surabaya,BMI
H001.41-G.HOMAL1.Periksa (PER),Jawa Timur,Malang,PER
H001.42-G.HOMAL1.Peralatan IT (IT),Jawa Timur,Malang,IT
Transit (AOL System),,,AOL System
